combo_id,trial_id,device_id,m,l,beta_pe,delta_alpha_e_over_p,f,x0,y0,phi0,x_end,y_end,phi_end,T,steps,status,pass_direction
0,0,0,3,0.038400000000000004,1.0,0.0,0.0,0.6122073384001852,0.5521859457394407,3.68022467331829,0.13459559121143427,-0.5751301326174604,141.48189033049607,10.0,25000000,max_steps,not_passed
0,1,0,3,0.038400000000000004,1.0,0.0,0.0,-0.07803821209818125,-0.2028079102030119,1.3998594460391172,0.31355631352497626,-1.731010938764676,-111.40299498767787,10.0,25000000,max_steps,not_passed
0,2,0,3,0.038400000000000004,1.0,0.0,0.0,0.6225099951028824,0.06613078406191383,1.5469324449055712,0.1666961792590328,0.4828311329806554,147.0413730867362,10.0,25000000,max_steps,not_passed
0,3,0,3,0.038400000000000004,1.0,0.0,0.0,0.33090435266494755,1.2786638557383807,5.813472717216261,0.1450608528944753,-0.4263704421365662,158.94921213060638,10.0,25000000,max_steps,not_passed
0,4,0,3,0.038400000000000004,1.0,0.0,0.0,0.48497716803103685,-0.13740851288207392,2.3494120947640655,0.09196162817157033,0.1035947235455936,140.24895946468186,10.0,25000000,max_steps,not_passed
0,5,0,3,0.038400000000000004,1.0,0.0,0.0,0.6237431345507503,0.5073164634305953,3.1337991842747996,0.2991765402423177,-1.2538289697203329,-74.46319102416528,10.0,25000000,max_steps,not_passed
0,6,0,3,0.038400000000000004,1.0,0.0,0.0,0.16956424340605736,1.212945198775892,2.519996886248199,-0.8304487601880648,0.2512192685997021,198.36568580908835,5.8274023999999995,14568506,ok,left
0,7,0,3,0.038400000000000004,1.0,0.0,0.0,-0.07220648787915707,-0.1714873109197986,5.545698850491322,0.43288247510347305,-0.050613268959895166,123.02749053175268,10.0,25000000,max_steps,not_passed
0,8,0,3,0.038400000000000004,1.0,0.0,0.0,0.4067219387739897,0.008412470457328486,1.4977044893579121,1.407622715753623,0.6053591922792861,-12.323582604583846,0.8411852,2102963,ok,right
0,9,0,3,0.038400000000000004,1.0,0.0,0.0,-0.08389134369790555,0.1820763169422193,3.2911560466597334,0.5496366362897364,0.6382828096866653,13.667566598578341,10.0,25000000,max_steps,not_passed
0,10,0,3,0.038400000000000004,1.0,0.0,0.0,0.6445986958220602,0.2750137574889882,3.5454172960384938,0.16707418926490641,-2.117722325606738,144.28164426218783,10.0,25000000,max_steps,not_passed
0,11,0,3,0.038400000000000004,1.0,0.0,0.0,0.3485722174867988,-0.38162716766894805,2.659280251570864,0.48315321916807524,-0.5160081282786201,-86.18119195675806,10.0,25000000,max_steps,not_passed
0,12,0,3,0.038400000000000004,1.0,0.0,0.0,0.03531767390668392,0.37893571543961363,2.3626217607939637,1.0353355656145333,-0.08818476250159962,20.711427986842708,6.1900692,15475173,ok,right
0,13,0,3,0.038400000000000004,1.0,0.0,0.0,0.37933082655072214,1.4782354066552297,1.3374417289249463,0.3513130668276071,-1.3279643960627336,-230.94507372911096,10.0,25000000,max_steps,not_passed
0,14,0,3,0.038400000000000004,1.0,0.0,0.0,0.42009401451796297,0.6558134073147399,5.844052873562519,0.18035427961477166,0.16118515737624622,-210.96260798332833,10.0,25000000,max_steps,not_passed
0,15,0,3,0.038400000000000004,1.0,0.0,0.0,0.14199118223041296,1.0695124129828335,5.224966487638162,0.15339333753873832,-0.43505318865884207,140.1882021350106,10.0,25000000,max_steps,not_passed
0,16,0,3,0.038400000000000004,1.0,0.0,0.0,0.5113590268418193,0.2481593635460002,5.113522140299482,0.20712954242055848,0.7094059312372801,18.809732580532767,10.0,25000000,max_steps,not_passed
0,17,0,3,0.038400000000000004,1.0,0.0,0.0,0.33564145602285866,-1.727204694010848,5.164657286054983,0.22189754533507142,0.22803444816699053,33.647764748279094,10.0,25000000,max_steps,not_passed
0,18,0,3,0.038400000000000004,1.0,0.0,0.0,-0.010916166007518768,0.722202208113857,4.1338753268546355,0.09643967770035257,0.2658342093798787,228.55053628277082,10.0,25000000,max_steps,not_passed
0,19,0,3,0.038400000000000004,1.0,0.0,0.0,0.45395773444324733,0.5624266165846745,3.9740077283903226,-0.5469807086321291,-0.37612263150366554,52.5160785495936,4.5458348,11364587,ok,left
0,20,0,3,0.038400000000000004,1.0,0.0,0.0,0.45398226585239176,0.538685810816271,4.246532317710499,0.17448892196283272,-0.49718343620557026,-64.23311493442864,10.0,25000000,max_steps,not_passed
0,21,0,3,0.038400000000000004,1.0,0.0,0.0,0.49429332558065653,0.7733241412245875,6.190636501293196,0.09420195747880081,1.7429709300744338,-105.74987857044185,10.0,25000000,max_steps,not_passed
0,22,0,3,0.038400000000000004,1.0,0.0,0.0,0.24423414319753647,1.0285048266259307,4.748539627415672,0.6196066147483607,-0.1884668941542767,-280.3598976560846,10.0,25000000,max_steps,not_passed
0,23,0,3,0.038400000000000004,1.0,0.0,0.0,-0.020399767719209195,0.06251878059252344,4.772114817051235,0.9798429689144073,0.062082106365221594,190.90813063109954,8.1089732,20272433,ok,right
0,24,0,3,0.038400000000000004,1.0,0.0,0.0,0.26577540915459397,-0.09123764341892629,5.442938498978782,1.2659018540668474,0.2989474369400689,-168.3436133460539,7.2701068,18175267,ok,right
0,25,0,3,0.038400000000000004,1.0,0.0,0.0,0.22466976922005416,-0.9412295358090793,5.114897063856281,0.14857443034697443,1.7060258968943651,-99.96391954419641,10.0,25000000,max_steps,not_passed
0,26,0,3,0.038400000000000004,1.0,0.0,0.0,-0.08995429947972299,-0.21682160599244601,1.5203626882942742,0.9103642300006329,-0.00017123264098770964,-123.35944773121945,8.9782864,22445716,ok,right
0,27,0,3,0.038400000000000004,1.0,0.0,0.0,0.119815481454134,-0.8571518013332377,2.980776810644435,0.32656371844712223,0.9725371214870346,-190.2430254567584,10.0,25000000,max_steps,not_passed
0,28,0,3,0.038400000000000004,1.0,0.0,0.0,0.4969356535002589,-0.19713453023810038,3.196019653218507,1.4970506681388007,0.5707021940968502,59.53296969828581,3.3462167999999997,8365542,ok,right
0,29,0,3,0.038400000000000004,1.0,0.0,0.0,0.6686696907505394,-0.10124270499205311,0.8717133466112902,0.07158513030444295,-1.5612395551682756,1.9201713066599042,10.0,25000000,max_steps,not_passed
0,30,0,3,0.038400000000000004,1.0,0.0,0.0,0.03913103397935629,1.011455758454818,4.346929322140146,1.0393447126368782,0.14235473172965596,-110.7489950728077,5.0598448,12649612,ok,right
0,31,0,3,0.038400000000000004,1.0,0.0,0.0,0.19978891499340534,-1.3026143800174526,3.211612057310438,-0.8002250400314883,-0.0860431240528642,109.42247023314556,8.938612,22346530,ok,left
0,32,0,3,0.038400000000000004,1.0,0.0,0.0,0.15659093279391528,-0.2687100569742979,0.19791836395714163,1.1567107254961524,0.6977544437373492,70.60035199220418,6.5045524,16261381,ok,right
0,33,0,3,0.038400000000000004,1.0,0.0,0.0,0.17017172481864692,-2.1752718111080487,2.5718712167137103,0.3349745937382414,-1.0762053427281348,-238.11765918337636,10.0,25000000,max_steps,not_passed
0,34,0,3,0.038400000000000004,1.0,0.0,0.0,0.13813791647553444,-0.00559507677380431,4.784447590966486,0.33797534634939347,-1.5968982450954106,229.6105698912659,10.0,25000000,max_steps,not_passed
