x,phi,count
0.005,0.08726646259971647,1061
0.005,0.2617993877991494,1686
0.005,0.4363323129985824,2326
0.005,0.6108652381980153,2836
0.005,0.7853981633974483,3462
0.005,0.9599310885968811,3654
0.005,1.1344640137963142,3817
0.005,1.308996938995747,4027
0.005,1.4835298641951802,4040
0.005,1.658062789394613,3975
0.005,1.8325957145940461,4084
0.005,2.007128639793479,3876
0.005,2.181661564992912,3511
0.005,2.356194490192345,3143
0.005,2.530727415391778,2631
0.005,2.705260340591211,2164
0.005,2.879793265790644,1531
0.005,3.0543261909900767,1008
0.005,3.2288591161895095,602
0.005,3.4033920413889422,320
0.005,3.577924966588375,186
0.005,3.752457891787808,98
0.005,3.9269908169872414,58
0.005,4.101523742186675,32
0.005,4.276056667386107,14
0.005,4.4505895925855405,25
0.005,4.625122517784973,13
0.005,4.799655442984406,19
0.005,4.974188368183839,21
0.005,5.148721293383272,28
0.005,5.323254218582705,38
0.005,5.497787143782138,61
0.005,5.672320068981571,89
0.005,5.8468529941810035,175
0.005,6.021385919380437,323
0.005,6.19591884457987,673
0.015,0.08726646259971647,1219
0.015,0.2617993877991494,1760
0.015,0.4363323129985824,2464
0.015,0.6108652381980153,3125
0.015,0.7853981633974483,3541
0.015,0.9599310885968811,3957
0.015,1.1344640137963142,4076
0.015,1.308996938995747,4183
0.015,1.4835298641951802,4299
0.015,1.658062789394613,4410
0.015,1.8325957145940461,4213
0.015,2.007128639793479,4016
0.015,2.181661564992912,3803
0.015,2.356194490192345,3436
0.015,2.530727415391778,2928
0.015,2.705260340591211,2268
0.015,2.879793265790644,1648
0.015,3.0543261909900767,1079
0.015,3.2288591161895095,648
0.015,3.4033920413889422,341
0.015,3.577924966588375,155
0.015,3.752457891787808,95
0.015,3.9269908169872414,55
0.015,4.101523742186675,40
0.015,4.276056667386107,20
0.015,4.4505895925855405,15
0.015,4.625122517784973,16
0.015,4.799655442984406,19
0.015,4.974188368183839,18
0.015,5.148721293383272,21
0.015,5.323254218582705,39
0.015,5.497787143782138,65
0.015,5.672320068981571,87
0.015,5.8468529941810035,196
0.015,6.021385919380437,387
0.015,6.19591884457987,717
0.025,0.08726646259971647,1209
0.025,0.2617993877991494,1834
0.025,0.4363323129985824,2527
0.025,0.6108652381980153,3332
0.025,0.7853981633974483,3833
0.025,0.9599310885968811,4281
0.025,1.1344640137963142,4493
0.025,1.308996938995747,4677
0.025,1.4835298641951802,4789
0.025,1.658062789394613,4627
0.025,1.8325957145940461,4454
0.025,2.007128639793479,4357
0.025,2.181661564992912,3943
0.025,2.356194490192345,3697
0.025,2.530727415391778,3267
0.025,2.705260340591211,2586
0.025,2.879793265790644,1732
0.025,3.0543261909900767,1206
0.025,3.2288591161895095,657
0.025,3.4033920413889422,373
0.025,3.577924966588375,183
0.025,3.752457891787808,103
0.025,3.9269908169872414,68
0.025,4.101523742186675,35
0.025,4.276056667386107,24
0.025,4.4505895925855405,20
0.025,4.625122517784973,30
0.025,4.799655442984406,21
0.025,4.974188368183839,28
0.025,5.148721293383272,29
0.025,5.323254218582705,46
0.025,5.497787143782138,80
0.025,5.672320068981571,119
0.025,5.8468529941810035,232
0.025,6.021385919380437,427
0.025,6.19591884457987,758
0.035,0.08726646259971647,1299
0.035,0.2617993877991494,2025
0.035,0.4363323129985824,2735
0.035,0.6108652381980153,3449
0.035,0.7853981633974483,3972
0.035,0.9599310885968811,4423
0.035,1.1344640137963142,4610
0.035,1.308996938995747,4886
0.035,1.4835298641951802,4995
0.035,1.658062789394613,4989
0.035,1.8325957145940461,4770
0.035,2.007128639793479,4680
0.035,2.181661564992912,4311
0.035,2.356194490192345,3951
0.035,2.530727415391778,3360
0.035,2.705260340591211,2748
0.035,2.879793265790644,1901
0.035,3.0543261909900767,1260
0.035,3.2288591161895095,785
0.035,3.4033920413889422,414
0.035,3.577924966588375,207
0.035,3.752457891787808,77
0.035,3.9269908169872414,49
0.035,4.101523742186675,22
0.035,4.276056667386107,22
0.035,4.4505895925855405,18
0.035,4.625122517784973,39
0.035,4.799655442984406,28
0.035,4.974188368183839,22
0.035,5.148721293383272,23
0.035,5.323254218582705,35
0.035,5.497787143782138,79
0.035,5.672320068981571,127
0.035,5.8468529941810035,278
0.035,6.021385919380437,437
0.035,6.19591884457987,782
0.045,0.08726646259971647,1344
0.045,0.2617993877991494,2154
0.045,0.4363323129985824,2801
0.045,0.6108652381980153,3623
0.045,0.7853981633974483,4177
0.045,0.9599310885968811,4654
0.045,1.1344640137963142,5003
0.045,1.308996938995747,5249
0.045,1.4835298641951802,5365
0.045,1.658062789394613,5509
0.045,1.8325957145940461,5327
0.045,2.007128639793479,5043
0.045,2.181661564992912,4697
0.045,2.356194490192345,4370
0.045,2.530727415391778,3730
0.045,2.705260340591211,2968
0.045,2.879793265790644,2085
0.045,3.0543261909900767,1390
0.045,3.2288591161895095,793
0.045,3.4033920413889422,464
0.045,3.577924966588375,265
0.045,3.752457891787808,118
0.045,3.9269908169872414,53
0.045,4.101523742186675,34
0.045,4.276056667386107,29
0.045,4.4505895925855405,24
0.045,4.625122517784973,23
0.045,4.799655442984406,25
0.045,4.974188368183839,25
0.045,5.148721293383272,21
0.045,5.323254218582705,31
0.045,5.497787143782138,68
0.045,5.672320068981571,119
0.045,5.8468529941810035,254
0.045,6.021385919380437,453
0.045,6.19591884457987,889
0.055,0.08726646259971647,1423
0.055,0.2617993877991494,2308
0.055,0.4363323129985824,3050
0.055,0.6108652381980153,3884
0.055,0.7853981633974483,4585
