combo_id,trial_id,device_id,m,l,beta_qe,delta_alpha_e_over_ql,f,x0,y0,phi0,x_end,y_end,phi_end,T,steps,status,pass_direction
0,334,1,3,0.038400000000000004,2.0,0.0,20.0,0.21504243537783624,1.3274840193342023,1.8263476665739573,1.2157244727245708,0.3706036601432767,-56.6383902302012,0.536828,1342070,ok,right
0,335,1,3,0.038400000000000004,2.0,0.0,20.0,-0.01817937158048153,0.7259152789740986,5.577670132212106,0.9830328605208692,0.0075869831162503915,21.27343491672789,0.46296,1157400,ok,right
0,336,1,3,0.038400000000000004,2.0,0.0,20.0,0.3954058218747378,-0.16766360912540715,1.943600418964593,1.3970988711714933,-0.014554007599052699,5.846723518490214,0.0635496,158874,ok,right
0,337,1,3,0.038400000000000004,2.0,0.0,20.0,0.19489440508186817,0.399162459588182,2.270652263152373,1.196371943655804,0.14218623686813583,25.76140389932536,0.18446559999999998,461164,ok,right
0,338,1,3,0.038400000000000004,2.0,0.0,20.0,0.175068567879498,-0.27657996499260423,0.2586791390930283,1.175798556487118,-0.019359806172302867,-17.14088213773377,0.09903479999999999,247587,ok,right
0,339,1,3,0.038400000000000004,2.0,0.0,20.0,-0.02386782802641392,-0.3846967288508096,4.711138100577668,0.9763698462040519,0.021164426471834228,-70.78628715681138,0.1858376,464594,ok,right
0,340,1,3,0.038400000000000004,2.0,0.0,20.0,0.3689172487705946,-0.30005912782832517,1.7784463641381538,1.3691829181096165,-0.22300978388171866,66.27549691598173,0.6686632,1671658,ok,right
0,341,1,3,0.038400000000000004,2.0,0.0,20.0,-0.015111331269145012,0.19073751501272065,2.010403633860921,0.9855799149390556,0.038831430641807156,-31.631501800909135,0.5024652,1256163,ok,right
0,342,1,3,0.038400000000000004,2.0,0.0,20.0,0.10672723148018122,-1.0696995663079214,2.34836467614059,1.1070167580634322,0.13685828051749566,-36.96728363448466,0.5737907999999999,1434477,ok,right
0,343,1,3,0.038400000000000004,2.0,0.0,20.0,-0.05316390600055457,0.5332910690955837,4.628544768210996,0.9469556141205293,0.007582750633048928,-19.081024856590275,0.7450336,1862584,ok,right
0,344,1,3,0.038400000000000004,2.0,0.0,20.0,0.3201915223151446,0.43043772432816735,3.882341490740728,1.3203456278444448,0.32164227709421866,21.639663131802756,0.422612,1056530,ok,right
0,345,1,3,0.038400000000000004,2.0,0.0,20.0,0.11500206422060728,-0.9417383227054713,4.524293085824254,1.1156438977852088,0.0612325264353338,12.78333048323925,0.1816208,454052,ok,right
0,346,1,3,0.038400000000000004,2.0,0.0,20.0,0.3663064541295171,-0.7913622803989332,1.8638357703668111,1.3663898515086925,0.15606018090542012,-31.525335161234615,0.2760428,690107,ok,right
0,347,1,3,0.038400000000000004,2.0,0.0,20.0,0.3983684808015824,0.8237311289454652,0.6808796769372456,1.398534658067862,-0.14035770043996196,-5.218289250868904,0.6705608,1676402,ok,right
0,348,1,3,0.038400000000000004,2.0,0.0,20.0,0.13952880296856165,-0.17793080486111565,6.01071723184773,1.1399868361893588,0.16027475323476897,-10.096406276672752,0.2363372,590843,ok,right
0,349,1,3,0.038400000000000004,2.0,0.0,20.0,0.5176994651556015,-0.2492176778165785,3.2605551988001626,1.5186357418922187,0.2957468575992173,47.59655057657169,1.4099359999999999,3524840,ok,right
0,350,1,3,0.038400000000000004,2.0,0.0,20.0,0.3581303460523486,-0.9879355845111133,6.134178811912389,1.3588738106513756,0.1718637715529093,19.410425550167464,0.3021856,755464,ok,right
0,351,1,3,0.038400000000000004,2.0,0.0,20.0,0.01711055710911751,0.41274620219492114,1.7887349821403913,1.0173646653028787,-0.23113656087020795,-5.483074283474421,1.1232672,2808168,ok,right
