x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,5
0.005,-1.1140625,5
0.005,-1.0421874999999998,34
0.005,-0.9703124999999999,74
0.005,-0.8984375,196
0.005,-0.8265624999999999,283
0.005,-0.7546875,596
0.005,-0.6828125,858
0.005,-0.6109374999999999,714
0.005,-0.5390625,817
0.005,-0.46718749999999987,1031
0.005,-0.39531249999999996,1179
0.005,-0.32343750000000004,1354
0.005,-0.2515624999999999,2443
0.005,-0.1796875,3453
0.005,-0.10781250000000009,5024
0.005,-0.03593750000000018,6682
0.005,0.03593750000000018,6562
0.005,0.10781250000000009,5107
0.005,0.1796875,3684
0.005,0.2515624999999999,2572
0.005,0.3234374999999998,1531
0.005,0.3953125000000002,1113
0.005,0.4671875000000001,1073
0.005,0.5390625,1147
0.005,0.6109374999999999,742
0.005,0.6828124999999998,646
0.005,0.7546874999999997,494
0.005,0.8265625000000001,354
0.005,0.8984375,324
0.005,0.9703124999999999,156
0.005,1.0421874999999998,52
0.005,1.1140624999999997,3
0.005,1.1859375,1
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,1
0.015,-1.1859374999999999,26
0.015,-1.1140625,32
0.015,-1.0421874999999998,91
0.015,-0.9703124999999999,124
0.015,-0.8984375,280
0.015,-0.8265624999999999,509
0.015,-0.7546875,907
0.015,-0.6828125,878
0.015,-0.6109374999999999,734
0.015,-0.5390625,853
0.015,-0.46718749999999987,1005
0.015,-0.39531249999999996,1389
0.015,-0.32343750000000004,1426
0.015,-0.2515624999999999,2666
0.015,-0.1796875,3649
0.015,-0.10781250000000009,4829
0.015,-0.03593750000000018,6298
0.015,0.03593750000000018,6188
0.015,0.10781250000000009,4999
0.015,0.1796875,3834
0.015,0.2515624999999999,2672
0.015,0.3234374999999998,1672
0.015,0.3953125000000002,1242
0.015,0.4671875000000001,1281
0.015,0.5390625,1231
0.015,0.6109374999999999,895
0.015,0.6828124999999998,669
