x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,0
0.005,-1.1140625,3
0.005,-1.0421874999999998,67
0.005,-0.9703124999999999,185
0.005,-0.8984375,329
0.005,-0.8265624999999999,459
0.005,-0.7546875,412
0.005,-0.6828125,335
0.005,-0.6109374999999999,354
0.005,-0.5390625,569
0.005,-0.46718749999999987,614
0.005,-0.39531249999999996,834
0.005,-0.32343750000000004,1146
0.005,-0.2515624999999999,1549
0.005,-0.1796875,2364
0.005,-0.10781250000000009,3866
0.005,-0.03593750000000018,4387
0.005,0.03593750000000018,4824
0.005,0.10781250000000009,3753
0.005,0.1796875,2615
0.005,0.2515624999999999,1531
0.005,0.3234374999999998,1067
0.005,0.3953125000000002,873
0.005,0.4671875000000001,543
0.005,0.5390625,463
0.005,0.6109374999999999,463
0.005,0.6828124999999998,461
0.005,0.7546874999999997,609
0.005,0.8265625000000001,653
0.005,0.8984375,503
0.005,0.9703124999999999,266
0.005,1.0421874999999998,82
0.005,1.1140624999999997,3
0.005,1.1859375,0
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,0
0.015,-1.1859374999999999,9
0.015,-1.1140625,54
0.015,-1.0421874999999998,180
0.015,-0.9703124999999999,366
0.015,-0.8984375,401
0.015,-0.8265624999999999,480
0.015,-0.7546875,395
0.015,-0.6828125,355
0.015,-0.6109374999999999,415
0.015,-0.5390625,516
0.015,-0.46718749999999987,611
0.015,-0.39531249999999996,762
0.015,-0.32343750000000004,1222
0.015,-0.2515624999999999,1683
0.015,-0.1796875,2631
0.015,-0.10781250000000009,3756
0.015,-0.03593750000000018,4247
0.015,0.03593750000000018,4504
0.015,0.10781250000000009,3739
0.015,0.1796875,2540
0.015,0.2515624999999999,1534
0.015,0.3234374999999998,1137
0.015,0.3953125000000002,972
0.015,0.4671875000000001,603
0.015,0.5390625,550
0.015,0.6109374999999999,540
0.015,0.6828124999999998,592
